epoch,categorical_accuracy,loss,miou,val_categorical_accuracy,val_loss,val_miou
0,0.27402833104133606,867.2797241210938,0.12824663519859314,0.6103532314300537,0.8344345092773438,0.25931188464164734
1,0.35905709862709045,585.1142578125,0.17794547975063324,0.6391255259513855,0.5571719408035278,0.2901287078857422
2,0.4206070899963379,512.6136474609375,0.21453459560871124,0.6578900218009949,0.4899071455001831,0.302237331867218
3,0.47029292583465576,456.9365539550781,0.2478700429201126,0.6870793104171753,0.48200973868370056,0.38380250334739685
4,0.5070077776908875,411.635986328125,0.2755891680717468,0.6710549592971802,0.43891772627830505,0.3644588887691498
5,0.5361146330833435,381.07666015625,0.29356473684310913,0.5814618468284607,0.6247039437294006,0.33438897132873535
6,0.5543083548545837,365.0621337890625,0.31150636076927185,0.6848156452178955,0.44393691420555115,0.3923845589160919
7,0.5726579427719116,351.6529846191406,0.32392704486846924,0.4685768783092499,0.7685707211494446,0.2584707736968994
8,0.5671078562736511,356.9728698730469,0.3130585253238678,0.7331268191337585,0.301910400390625,0.4442853331565857
9,0.6153126358985901,329.23040771484375,0.3501443862915039,0.7797104716300964,0.2962832450866699,0.4729127287864685
10,0.6131144762039185,330.97991943359375,0.35138869285583496,0.7674986720085144,0.2838189899921417,0.4677177965641022
11,0.6084685921669006,325.4826354980469,0.3528881072998047,0.6854113340377808,0.4307297170162201,0.40153008699417114
12,0.6453081369400024,306.84552001953125,0.3814409673213959,0.7197235822677612,0.3271039128303528,0.43904685974121094
13,0.6584662199020386,299.68896484375,0.3901517391204834,0.7119795083999634,0.4474516212940216,0.42079415917396545
14,0.6701900362968445,290.617919921875,0.40646421909332275,0.752606213092804,0.31025516986846924,0.461570680141449
15,0.6717802286148071,291.2840270996094,0.403544157743454,0.7337225079536438,0.320612370967865,0.45529767870903015
16,0.675740122795105,291.2198791503906,0.4059962034225464,0.7561208009719849,0.27943968772888184,0.48308202624320984
17,0.6813837885856628,284.78485107421875,0.41333651542663574,0.7521892189979553,0.259691447019577,0.46446630358695984
18,0.6866220831871033,279.6679382324219,0.4169079065322876,0.7445046901702881,0.334181547164917,0.45325639843940735
19,0.7020719051361084,281.16534423828125,0.4302425980567932,0.6852326393127441,0.3206961750984192,0.4676910936832428
20,0.6939494609832764,272.7312927246094,0.4297506511211395,0.7060821056365967,0.4066084027290344,0.43428856134414673
21,0.6877133846282959,280.903076171875,0.42188411951065063,0.7214511036872864,0.36368995904922485,0.3870687484741211
22,0.701806902885437,269.48065185546875,0.4354499578475952,0.7169238328933716,0.40187591314315796,0.3737630546092987
23,0.7162590026855469,262.2308349609375,0.4513251781463623,0.6261988282203674,0.47472986578941345,0.34742990136146545
24,0.7212945818901062,264.2401123046875,0.4568965435028076,0.7620182037353516,0.26019635796546936,0.48243919014930725
25,0.7245841026306152,256.3869323730469,0.46263912320137024,0.6289390325546265,0.49845317006111145,0.36613160371780396
26,0.7321609258651733,252.80259704589844,0.46752071380615234,0.7321141362190247,0.3321729004383087,0.4401898980140686
27,0.7201253175735474,260.3896789550781,0.4565443992614746,0.6473461389541626,0.5654725432395935,0.3873724937438965
28,0.7273123860359192,254.9480743408203,0.46533724665641785,0.6321558356285095,0.5118946433067322,0.3441382646560669
29,0.7361520528793335,252.4144744873047,0.4751037061214447,0.7766724228858948,0.27086883783340454,0.42508041858673096
30,0.7380696535110474,247.85256958007812,0.4804259240627289,0.7269911170005798,0.32074761390686035,0.38300904631614685
31,0.7114883661270142,268.904541015625,0.4373547434806824,0.7845356464385986,0.25980478525161743,0.42723923921585083
32,0.7376486659049988,251.8623809814453,0.47575730085372925,0.6586048603057861,0.47316694259643555,0.3403361141681671
33,0.7535350918769836,243.80972290039062,0.496543824672699,0.7567164897918701,0.3262464106082916,0.4946654140949249
34,0.7516798377037048,247.1706085205078,0.493610680103302,0.7477810382843018,0.2847828269004822,0.41623038053512573
35,0.7619225978851318,239.41073608398438,0.5086638927459717,0.7936498522758484,0.22976772487163544,0.44349437952041626
36,0.7585239410400391,239.5118408203125,0.5009382963180542,0.7085244655609131,0.27878910303115845,0.4307546019554138
37,0.762296736240387,236.4266357421875,0.5111316442489624,0.6593196988105774,0.4084151089191437,0.31844475865364075
38,0.7687042951583862,240.8386993408203,0.5130957961082458,0.7669625282287598,0.29081979393959045,0.42512810230255127
39,0.7661786675453186,234.5008087158203,0.5195626020431519,0.7983558773994446,0.23407545685768127,0.46446797251701355
40,0.7645573019981384,237.7909393310547,0.5098822116851807,0.7819741368293762,0.27829909324645996,0.4279615879058838
